,time
0,0:50
1,0:50
2,9:05
3,7:05
4,6:50
5,8:50
6,7:20
7,13:00
8,4:50
9,2:00
10,33:20:00
11,8:20
12,3:55
13,5:00
14,2:00
15,7:35
16,6:05
17,5:45
18,4:15
19,5:40
20,2:50
21,1:15
22,3:00
23,2:25
24,1:55
25,1:15
26,7:15
27,5:20
28,1:00
29,1:05
30,1:35
31,0:50
32,1:10
33,1:05
34,5:10
35,1:35
36,1:40
37,1:05
38,1:00
39,1:20
40,1:00
41,2:10
42,1:15
43,12:15
44,1:10
45,1:50
46,1:40
47,1:20
48,1:25
49,1:15
50,1:25
51,1:15
52,4:25
53,1:15
54,1:10
55,2:40
56,2:30
57,1:15
58,2:25
59,1:50
60,2:05
61,1:00
62,1:30
63,1:10
64,1:05
65,1:05
66,1:50
67,1:10
68,2:35
69,1:45
70,1:50
71,1:20
72,1:50
73,1:20
74,1:15
75,1:20
76,1:50
77,1:15
78,1:45
79,1:45
80,1:20
81,1:05
82,3:25
83,1:10
84,1:30
85,3:10
86,1:30
87,1:20
88,3:25
89,1:05
90,1:35
91,1:00
92,1:05
93,1:05
94,5:50
95,1:10
96,1:05
97,1:40
98,0:50
99,1:00
100,1:10
101,1:05
102,1:50
103,1:15
104,2:00
105,1:00
106,1:30
107,1:05
108,1:30
109,2:25
110,6:45
111,1:25
112,2:30
113,5:10
114,1:00
115,1:10
116,25:25:00
117,1:15
118,5:20
119,0:50
120,1:10
121,1:35
122,0:50
123,1:35
124,1:20
125,4:15
126,25:30:00
127,1:05
128,1:15
129,2:05
130,2:20
131,1:25
132,1:30
133,3:20
134,2:15
135,1:40
136,1:35
137,1:50
138,1:45
139,3:40
140,1:00
141,1:00
142,1:30
143,21:00
144,1:55
145,4:25
146,1:05
147,3:45
148,20:05
149,0:50
150,1:05
151,3:45
152,1:00
153,2:45
154,2:30
155,1:10
156,20:15
157,38:25:00
158,6:30
159,1:35
160,7:00
161,6:05
162,6:15
163,42:55:00
164,1:20
165,1:30
166,15:50
167,1:15
168,1:25
169,1:05
170,2:55
171,13:10
172,1:05
173,0:50
174,2:15
175,2:30
176,1:10
177,2:15
178,4:15
179,2:05
180,1:50
181,2:00
182,2:10
183,4:45
184,2:00
185,4:40
186,2:10
187,1:30
188,1:30
189,3:50
190,12:25
191,1:05
192,1:00
193,1:30
194,1:55
195,0:55
196,14:30
197,0:55
198,5:40
199,17:45
200,0:50
201,12:05
202,13:10
203,3:50
204,10:15
205,13:35
206,1:05
207,1:35
208,0:50
209,12:15
210,11:00
211,1:10
212,1:20
213,15:25
214,1:15
215,0:50
216,1:25
217,1:30
218,1:00
219,11:35
220,1:00
221,0:50
222,11:45
223,1:05
224,10:15
225,10:40
226,0:50
227,8:40
228,11:55
229,9:25
230,1:10
231,10:30
232,11:30
233,8:25
234,8:30
235,10:30
236,9:30
237,10:40
238,10:20
239,10:05
240,11:00
241,9:30
242,7:55
243,10:15
244,11:05
245,9:45
246,8:15
247,10:00
248,11:45
249,9:35
250,14:30
251,9:30
252,8:05
253,15:40
254,8:15
255,7:35
256,8:30
257,12:00
258,5:25
259,7:40
260,3:45
261,4:50
262,5:35
263,2:00
264,8:20
265,3:55
266,4:05
267,6:35
268,30:30:00
269,19:10
270,1:15
271,6:20
272,5:45
273,4:25
274,8:10
275,5:40
276,2:50
277,6:05
278,1:30
279,5:25
280,2:25
281,4:45
282,1:15
283,10:00
284,1:35
285,1:05
286,1:45
287,0:50
288,1:10
289,1:05
290,1:35
291,12:50
292,1:05
293,1:10
294,1:25
295,0:50
296,1:20
297,1:15
298,2:10
299,1:15
300,1:30
301,1:10
302,1:40
303,4:35
304,1:25
305,1:05
306,1:40
307,1:15
308,1:20
309,1:15
310,3:10
311,1:35
312,1:05
313,2:40
314,2:25
315,1:50
316,2:55
317,1:00
318,1:30
319,1:00
320,1:55
321,1:55
322,1:00
323,1:10
324,2:35
325,1:45
326,1:50
327,1:20
328,1:50
329,1:20
330,1:15
331,2:10
332,7:00
333,0:50
334,1:50
335,6:10
336,1:05
337,1:10
338,1:30
339,3:10
340,1:30
341,1:05
342,3:25
343,1:10
344,1:00
345,1:05
346,1:05
347,1:05
348,1:10
349,1:05
350,1:40
351,3:30
352,1:45
353,1:10
354,1:05
355,1:50
356,1:15
357,2:50
358,1:55
359,1:30
360,1:10
361,2:25
362,4:40
363,1:25
364,1:20
365,1:00
366,1:10
367,1:40
368,5:20
369,0:50
370,1:10
371,1:35
372,0:50
373,1:35
374,1:35
375,1:20
376,4:15
377,1:05
378,2:50
379,1:30
380,1:35
381,1:05
382,3:20
383,1:10
384,1:35
385,1:35
386,1:50
387,2:10
388,15:35
389,1:05
390,1:30
391,3:35
392,1:05
393,3:25
394,0:55
395,1:05
396,20:45
397,1:15
398,7:20
399,0:50
400,19:20
401,1:00
402,22:30
403,15:45
404,1:10
405,3:25
406,3:15
407,3:10
408,1:30
409,6:20
410,1:20
411,1:30
412,2:20
413,1:15
414,2:35
415,1:05
416,2:55
417,13:10
418,1:05
419,1:05
420,1:15
421,1:10
422,1:10
423,5:15
424,2:15
425,1:05
426,2:05
427,2:10
428,2:00
429,2:10
430,4:45
431,3:50
432,2:00
433,4:40
434,2:10
435,1:30
436,1:25
437,3:50
438,1:20
439,1:05
440,1:00
441,1:30
442,1:55
443,1:30
444,13:00
445,0:55
446,5:40
447,12:05
448,0:50
449,12:05
450,12:05
451,3:50
452,10:15
453,12:30
454,12:30
455,1:35
456,0:50
457,11:00
458,1:10
459,1:20
460,15:20
461,1:15
462,0:50
463,1:25
464,9:25
465,12:15
466,1:00
467,1:10
468,11:35
469,1:00
470,9:10
471,11:50
472,11:25
473,1:00
474,1:05
475,1:00
476,10:00
477,10:30
478,10:30
479,9:25
480,14:35
481,11:10
482,0:50
483,10:15
484,9:05
485,8:25
486,10:20
487,18:30
488,11:05
489,8:50
490,7:55
491,11:15
492,9:25
493,9:45
494,10:55
495,9:25
496,10:55
497,9:35
498,9:20
499,9:15
500,9:30
501,15:40
502,0:50
503,7:55
504,6:50
505,7:10
506,6:45
507,7:50
508,5:10
509,13:00
510,5:05
511,2:00
512,7:00
513,9:20
514,6:00
515,3:55
516,5:00
517,6:25
518,2:00
519,7:35
520,2:40
521,5:45
522,4:15
523,5:40
524,3:10
525,2:35
526,3:10
527,6:00
528,12:15
529,2:15
530,4:50
531,6:55
532,1:00
533,1:05
534,3:30
535,0:50
536,1:10
537,1:05
538,1:15
539,1:35
540,1:05
541,1:05
542,1:25
543,1:20
544,1:50
545,2:10
546,1:40
547,1:35
548,1:10
549,1:40
550,1:20
551,1:25
552,1:15
553,2:10
554,1:15
555,3:00
556,2:20
557,1:00
558,3:30
559,1:15
560,2:25
561,6:50
562,1:00
563,1:00
564,1:30
565,1:10
566,1:05
567,1:05
568,1:50
569,1:10
570,2:35
571,1:45
572,1:50
573,1:50
574,2:40
575,1:15
576,2:00
577,1:20
578,1:15
579,2:10
580,2:35
581,1:40
582,1:15
583,1:35
584,3:25
585,1:10
586,1:30
587,1:30
588,1:05
589,1:15
590,3:25
591,1:05
592,1:10
593,1:00
594,1:05
595,1:05
596,1:05
597,1:10
598,1:05
599,1:40
600,1:00
601,0:50
602,1:10
603,1:05
604,1:45
605,1:05
606,5:25
607,1:40
608,1:05
609,1:30
610,1:20
611,2:00
612,5:30
613,1:00
614,1:10
615,1:40
616,1:20
617,1:20
618,0:50
619,1:10
620,1:35
621,0:50
622,1:35
623,1:10
624,1:20
625,4:15
626,1:30
627,1:05
628,1:35
629,2:00
630,2:20
631,1:25
632,1:30
633,1:35
634,2:35
635,3:20
636,1:35
637,1:35
638,1:50
639,1:45
640,1:50
641,1:00
642,1:05
643,1:30
644,0:50
645,1:05
646,4:25
647,1:05
648,3:45
649,4:20
650,0:50
651,1:05
652,0:50
653,2:45
654,1:00
655,1:10
656,1:00
657,3:25
658,0:50
659,0:50
660,1:30
661,0:50
662,3:05
663,0:50
664,1:20
665,1:30
666,3:15
667,1:15
668,2:30
669,1:05
670,2:30
671,1:25
672,1:05
673,1:20
674,1:05
675,2:55
676,1:10
677,0:50
678,2:15
679,4:15
680,2:05
681,2:10
682,2:10
683,2:10
684,0:50
685,2:00
686,0:50
687,2:10
688,1:30
689,3:50
690,0:50
691,1:20
692,1:05
693,1:00
694,0:50
695,1:55
696,1:30
697,1:05
698,0:55
699,0:50
700,0:50
701,1:15
702,0:50
703,0:50
704,0:50
705,0:50
706,0:50
707,0:50
708,1:35
709,0:50
710,0:50
711,0:50
712,1:10
713,1:20
714,0:50
715,1:15
716,0:50
717,1:25
718,1:30
719,1:00
720,1:10
721,0:50
722,1:00
723,0:50
724,0:50
725,1:05
726,0:50
727,0:50
728,0:50
729,0:50
730,0:50
731,0:50
732,0:50
733,0:50
734,0:50
735,0:50
736,0:50
737,0:50
738,0:50
739,0:50
740,0:50
741,0:50
742,0:50
743,0:50
744,0:50
745,0:50
746,0:50
747,0:50
748,0:50
749,0:50
750,0:50
751,0:50
752,0:50
